form,frlg_chamber_id,frlg_chamber_enc,frlg_min_odds,frlg_max_odds,dppt_enc,hgss_chamber_loc,hgss_chamber_puzzle
A,1,99,5120,10240,5,tr,kabuto
B,6,2,5120,10240,5,tr,kabuto
C,2,50,5120,10240,5,tr,kabuto
D,2,30,5120,10240,100,tr,kabuto
E,3,2,6144,9216,100,tr,kabuto
F,5,13,6144,9216,100,tr,kabuto
G,5,25,6144,9216,5,tr,kabuto
H,2,14,6144,9216,5,tr,kabuto
I,3,8,6144,18432,100,tr,kabuto
J,4,20,6144,18432,5,tr,kabuto
K,5,2,6144,18432,5,ll,omanyte
L,4,20,6144,18432,5,ll,omanyte
M,6,8,6144,18432,5,ll,omanyte
N,3,60,6144,18432,100,ll,omanyte
O,2,1,6144,18432,5,ll,omanyte
P,4,40,6144,18432,5,ll,omanyte
Q,4,6,6144,18432,5,ll,omanyte
R,4,14,6144,18432,100,lr,aerodactyl
S,3,30,6144,18432,5,lr,aerodactyl
T,5,20,6144,18432,5,lr,aerodactyl
U,2,5,6144,18432,5,lr,aerodactyl
V,6,50,6144,18432,5,lr,aerodactyl
W,6,30,6144,18432,5,tl,ho-oh
X,6,10,6144,18432,5,tl,ho-oh
Y,5,40,6144,9216,5,tl,ho-oh
Z,7,99,6144,9216,5,tl,ho-oh
?,1,1,6144,9216,50,all,all
!,7,1,6144,9216,50,all,all